Geo Point;Geo Shape;ID_REF_ZDL;NOM_LONG;LABEL;MODE_;FER;TRAIN;RER;METRO;TRAMWAY;NAVETTE;VAL;TERFER;TERTRAIN;TERRER;TERMETRO;TERTRAM;TERNAVETTE;TERVAL;EXPLOITANT;PRINCIPAL;IDF;X;Y
48.9067006317, 2.46052340367;"{""type"": ""Point"", ""coordinates"": [2.460523403665098, 48.90670063170016]}";42245;AUGUSTE DELAUNE;Auguste Delaune;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;0;1;609089.587;134038.66
48.8223099329, 2.23132315987;"{""type"": ""Point"", ""coordinates"": [2.231323159873781, 48.82230993293686]}";47364;BRIMBORION;Brimborion;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;0;1;592275.322;124652.306
48.8343581656, 2.2840072434;"{""type"": ""Point"", ""coordinates"": [2.28400724340014, 48.8343581655995]}";42844;DESNOUETTES;Desnouettes;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;0;1;596144.728;125988.012
48.8639744458, 2.27811256254;"{""type"": ""Point"", ""coordinates"": [2.278112562536507, 48.86397444580758]}";44461;RUE DE LA POMPE (AVENUE GEORGES MANDEL);Rue de la Pompe;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;595714.572;129281.682
48.8647940649, 2.29416201403;"{""type"": ""Point"", ""coordinates"": [2.294162014031211, 48.86479406489216]}";43395;IENA;Iéna;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;596892.11;129372.033
48.8690265273, 2.30993538871;"{""type"": ""Point"", ""coordinates"": [2.309935388712292, 48.86902652727291]}";43026;FRANKLIN-D.ROOSEVELT;Franklin-D.Roosevelt;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;598049.494;129842.156
48.8523154274, 2.38937812792;"{""type"": ""Point"", ""coordinates"": [2.389378127918613, 48.85231542739917]}";42374;RUE DES BOULETS;Rue des Boulets;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;603878.611;127984.891
48.8557264286, 2.42298321615;"{""type"": ""Point"", ""coordinates"": [2.422983216145875, 48.855726428633155]}";44650;ROBESPIERRE;Robespierre;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;606344.238;128366.473
48.8579655921, 2.43555571977;"{""type"": ""Point"", ""coordinates"": [2.43555571977294, 48.85796559208459]}";42789;CROIX DE CHAVAUX (JACQUES DUCLOS);Croix de Chavaux;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;607266.464;128616.602
48.8471500557, 2.26913587273;"{""type"": ""Point"", ""coordinates"": [2.269135872730268, 48.84715005570977]}";42947;EGLISE D'AUTEUIL;Église d'Auteuil;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;595054.303;127411.352
48.8479715406, 2.25774468038;"{""type"": ""Point"", ""coordinates"": [2.257744680376012, 48.84797154059771]}";44504;PORTE D'AUTEUIL;Porte d'Auteuil;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;594218.389;127503.515
48.8452411948, 2.26189364176;"{""type"": ""Point"", ""coordinates"": [2.261893641759714, 48.84524119484093]}";44139;MICHEL-ANGE-MOLITOR;Michel-Ange-Molitor;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;594522.577;127199.588
48.8465346367, 2.28599922206;"{""type"": ""Point"", ""coordinates"": [2.285999222059007, 48.84653463673119]}";42557;CHARLES MICHELS;Charles Michels;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;596291.874;127341.944
48.8699575127, 2.37109483973;"{""type"": ""Point"", ""coordinates"": [2.371094839731201, 48.86995751270301]}";43298;GONCOURT (HOPITAL SAINT-LOUIS);Goncourt;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;602536.033;129945.924
